epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.4437,1.69227,4.8401,1.55422,0.0569,0.13541,0.05203,0.02277,1.721,5.08732,1.58054,6.25e-05,6.25e-05,6.25e-05
2,69.1165,1.48997,3.17496,1.43728,0.62147,0.82828,0.80568,0.46271,1.4749,3.05003,1.71853,0.000135231,0.000135231,0.000135231
3,75.2431,1.37707,2.03209,1.40894,0.69117,0.57887,0.59889,0.3434,1.35587,3.97089,1.59212,0.000205487,0.000205487,0.000205487
4,79.7395,1.3205,1.50956,1.33816,0.84506,0.78312,0.93593,0.58127,1.33868,2.18079,1.55006,0.000273269,0.000273269,0.000273269
5,83.8919,1.29789,1.27762,1.31498,0.84362,0.87566,0.94248,0.59959,1.29382,1.83825,1.54708,0.000338575,0.000338575,0.000338575
6,89.2455,1.29263,1.20552,1.31544,0.74319,0.62054,0.67329,0.39517,1.50148,2.55853,1.66581,0.000401406,0.000401406,0.000401406
7,93.7069,1.321,1.07462,1.31733,0.48077,0.37321,0.32054,0.16551,1.81772,5.65729,1.98923,0.000461763,0.000461763,0.000461763
8,97.4107,1.26194,1.08118,1.27212,0.27602,0.40863,0.19901,0.10289,1.92946,17.009,2.08714,0.000519644,0.000519644,0.000519644
9,101.602,1.25367,0.90504,1.29353,0.71446,0.07292,0.06315,0.04181,2.74011,14.5063,2.69964,0.00057505,0.00057505,0.00057505
10,106.755,1.22874,0.84434,1.23682,0.75934,0.81868,0.71763,0.41919,1.56021,1.98352,1.74309,0.000627981,0.000627981,0.000627981
11,110.915,1.27738,0.83466,1.24507,0.89844,0.98659,0.98188,0.60282,1.3895,1.0527,1.65519,0.000678438,0.000678438,0.000678438
12,114.858,1.18831,0.77651,1.20133,0.90749,0.92086,0.94127,0.53544,1.45661,0.96573,1.72066,0.000726419,0.000726419,0.000726419
13,119.853,1.19342,0.75026,1.26445,0.89234,0.86148,0.91456,0.55128,1.37583,1.21108,1.68492,0.000771925,0.000771925,0.000771925
14,123.802,1.19368,0.759,1.24472,0.79662,0.84711,0.96889,0.62298,1.28254,1.07817,1.65957,0.000814956,0.000814956,0.000814956
15,127.668,1.26514,0.71988,1.2973,0.88348,0.91686,0.97719,0.61597,1.30651,0.89428,1.64657,0.000855512,0.000855512,0.000855512
16,132.001,1.16998,0.66124,1.22139,0.90513,1,0.995,0.59046,1.45402,0.80455,1.77999,0.000893594,0.000893594,0.000893594
17,137.005,1.16179,0.68818,1.22468,0.96298,1,0.995,0.59785,1.34774,0.76105,1.70199,0.00092,0.00092,0.00092
18,140.74,1.15053,0.69832,1.2346,0.87371,0.97037,0.97,0.56769,1.38586,0.83234,1.68552,0.000899375,0.000899375,0.000899375
19,144.523,1.16178,0.67069,1.21522,0.81879,0.97574,0.99063,0.60574,1.36982,0.82098,1.67867,0.00087875,0.00087875,0.00087875
20,149.514,1.11202,0.63606,1.1639,0.88764,0.99188,0.98054,0.58101,1.39234,0.7754,1.70288,0.000858125,0.000858125,0.000858125
21,153.96,1.10422,0.64502,1.16136,0.86351,0.98473,0.96839,0.57671,1.38617,0.76643,1.67823,0.0008375,0.0008375,0.0008375
22,157.658,1.02938,0.58468,1.15269,0.93144,0.89991,0.98222,0.62317,1.34923,0.81214,1.64656,0.000816875,0.000816875,0.000816875
23,162.119,1.05436,0.60092,1.16996,0.9624,0.85641,0.97292,0.60572,1.30783,0.78124,1.6262,0.00079625,0.00079625,0.00079625
24,167.61,1.08667,0.64019,1.22415,0.93299,0.92447,0.97879,0.62782,1.33884,0.70882,1.66357,0.000775625,0.000775625,0.000775625
25,171.427,0.99929,0.59607,1.15163,0.84723,0.90649,0.93008,0.61265,1.32313,0.7063,1.66781,0.000755,0.000755,0.000755
26,175.499,1.059,0.62589,1.1963,0.83708,0.89926,0.9315,0.57165,1.34489,0.8615,1.70533,0.000734375,0.000734375,0.000734375
27,181.097,1.02271,0.54549,1.12312,0.83942,0.89895,0.95403,0.58111,1.43223,0.85155,1.8109,0.00071375,0.00071375,0.00071375
28,184.578,1.06368,0.59642,1.18196,0.97665,0.96543,0.995,0.61886,1.34997,0.70055,1.70726,0.000693125,0.000693125,0.000693125
29,188.489,1.07273,0.64812,1.19744,0.88475,0.88918,0.95917,0.57319,1.39281,0.7677,1.71514,0.0006725,0.0006725,0.0006725
30,192.891,1.03806,0.59007,1.1472,0.86028,0.92152,0.975,0.56737,1.42561,0.81085,1.75237,0.000651875,0.000651875,0.000651875
31,197.926,0.97246,0.56482,1.11369,0.90864,0.99375,0.98929,0.62101,1.32079,0.75195,1.68035,0.00063125,0.00063125,0.00063125
32,202.271,0.94201,0.53232,1.11782,0.9772,0.98921,0.995,0.61139,1.3396,0.68703,1.7136,0.000610625,0.000610625,0.000610625
